acl 2.2.52-4
alsa-lib 1.1.4.1-2
apache 2.4.29-1
apr 1.6.3-1
apr-util 1.6.1-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
bash 4.4.012-2
bash-completion 2.7-2
bc 1.07.1-1
bind 9.11.2-2
bind-tools 9.11.2-2
binutils 2.29.0-1
bison 3.0.4-3
boost-libs 1.65.1-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-2
ca-certificates-utils 20170307-1
cifs-utils 6.7-2
compositeproto 0.4.2-3
coreutils 8.28-1
cracklib 2.9.6-1
crda 3.18-1
cryptsetup 1.7.5-2
curl 7.56.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.12.0-1
device-mapper 2.02.176-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
e2fsprogs 1.43.7-1
elinks 0.13-19
expac 8-1
expat 2.2.4-1
fakeroot 1.22-1
ffmpeg 1:3.4-4
file 5.32-1
filesystem 2017.03-2
findutils 4.6.0-2
firmware-raspberrypi 1-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.6-1
freetype2 2.8.1-1
fribidi 0.19.7-1
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.2.0-2
gcc-libs 7.2.0-2
gdb 8.0.1-1
gdb-common 8.0.1-1
gdbm 1.13-1
geoip 1.6.11-1
geoip-database 20171107-1
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.15.0-1
glib2 2.54.2-2
glibc 2.26-3
gmp 6.1.2-1
gnupg 2.2.2-1
gnutls 3.5.16-1
gperftools 2.5-1
gpgme 1.9.0-3
gpm 1.20.7-8
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
gsm 1.0.17-1
guile 2.2.2-1
guile2.0 2.0.14-1
gzip 1.8-2
harfbuzz 1.6.3-1
haveged 1.9.1-4
hicolor-icon-theme 0.17-1
htop 2.0.2-2
http-parser 2.7.1-1
hwids 20170715-1
iana-etc 20170824-1
icu 59.1-2
idnkit 1.0-3
inetutils 1.9.4-5
iniparser 4.0-2
inputproto 2.3.2-1
iproute2 4.13.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
iw 4.9-1
jack 0.125.0-3
jemalloc 1:5.0.1-3.1
jfsutils 1.1.15-4
json-c 0.12.1-1
kbd 2.0.4-1
kbproto 1.0.7-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15.2-1
lame 3.100-1
lcms2 2.8-2
ldb 1.2.2-1
ldns 1.7.0-3
less 487-1
libaio 0.3.110-1
libarchive 3.3.2-1
libass 0.14.0-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatomic_ops 7.4.6-1
libavc1394 0.5.4-3
libbluray 1.0.1-1
libbsd 0.8.6-1
libcap 2.25-1
libcap-ng 0.7.8-1
libcups 2.2.6-1
libdaemon 0.14-3
libdmx 1.1.3-1
libdrm 2.4.88-1
libedit 20170329_3.1-1
libelf 0.170-1
